,x,y
0,0,4
1,1,63
2,2,3
3,3,48
4,4,1
5,6,27
6,7,20
7,13,11
8,14,26
9,17,157
10,18,6
11,20,8
12,21,455
13,24,43
14,25,232
15,26,56
16,27,7
17,28,81
18,30,8
19,31,8
20,32,18
21,34,6
22,35,44
23,37,12
24,39,6
25,40,9
26,46,25
27,48,144
28,50,61
29,51,3
30,53,5
31,54,16
32,56,6
33,58,83
34,59,11
35,64,18
36,65,11
37,67,10
38,68,10
39,69,29
40,71,29
41,72,42
42,73,17
43,74,1
44,75,7
45,78,149
46,79,5
47,82,7
48,83,33
49,84,45
50,88,9
51,89,67
52,92,79
53,95,19
54,96,12
55,97,6
56,98,80
57,102,24
58,103,5
59,105,15
60,106,53
61,112,5
62,120,10
63,122,75
64,124,5
65,127,45
66,132,89
67,134,45
68,136,357
69,137,5
70,138,22
71,139,8
72,140,144
73,144,948
74,145,217
75,150,14
76,153,2
77,154,14
78,155,9
79,158,6
80,161,41
81,163,8
82,166,78
83,169,6
84,173,7
85,174,65
86,179,10
87,181,47
88,182,9
89,183,14
90,184,13
91,185,74
92,192,65
93,193,11
94,194,168
95,195,56
96,201,16
97,204,18
98,206,27
99,208,39
100,209,53
101,211,79
102,212,376
103,213,18
104,214,4
105,217,76
106,218,184
107,219,5
108,220,125
109,224,31
110,227,100
111,232,15
112,233,121
113,236,187
114,240,3
115,241,23
116,242,21
117,245,78
118,246,43
119,247,87
120,248,86
121,251,6
122,252,5
123,253,8
124,255,14
125,257,7
126,259,7
127,260,9
128,261,39
129,263,1
130,264,9
131,267,28
132,270,9
133,274,66
134,277,18
135,278,7
136,279,10
137,281,18
138,282,36
139,283,2
140,284,25
141,287,3
142,288,1
143,289,12
144,290,46
145,291,18
146,294,37
147,295,87
148,298,29
149,300,2
150,301,191
151,302,34
152,304,474
153,305,3
154,306,521
155,307,177
156,308,60
157,309,317
158,311,36
159,312,424
160,313,118
161,315,12
162,318,30
163,319,62
164,322,16
165,323,16
166,324,34
167,326,5
168,328,10
169,329,38
170,330,6
171,331,4
172,332,6
173,335,12
174,336,2
175,341,21
176,343,11
177,350,28
178,351,53
179,357,5
180,361,53
181,362,10
182,364,23
183,365,26
184,366,41
185,368,15
186,369,28
187,372,4
188,373,21
189,374,2
